"pubid","group","percent_e01_to_e03xp_at_e05"
"525","new",51.4285714285714
"525","previously_detected",79.1044776119403
"527","new",92.8571428571429
"527","previously_detected",100
"531","new",75.7575757575758
"531","previously_detected",100
"545","new",90.9090909090909
"545","previously_detected",83.3333333333333
"559","new",97.5
"559","previously_detected",100
"577","new",96.1538461538462
"577","previously_detected",100
"581","new",95.6521739130435
"581","previously_detected",96.8253968253968
"582","new",100
"582","previously_detected",100
"635","new",100
"635","previously_detected",100
"653","new",0
"653","previously_detected",100
"665","new",100
"665","previously_detected",100
"669","new",91.0714285714286
"669","previously_detected",93.75
"673","new",88.4210526315789
"673","previously_detected",100
"684","new",82.4324324324324
"684","previously_detected",90.9090909090909
"706","new",96.7741935483871
"706","previously_detected",100
"753","new",78.2608695652174
"753","previously_detected",81.8181818181818
"754","new",69.5652173913043
"754","previously_detected",90.9090909090909
"761","new",97.4683544303797
"761","previously_detected",95.5555555555556
"763","new",98.1818181818182
"763","previously_detected",100
"771","new",0
"771","previously_detected",100
"773","new",76.9230769230769
"773","previously_detected",94.1176470588235
"784","new",90.9090909090909
"784","previously_detected",93.3333333333333
"836","new",89.1891891891892
"836","previously_detected",100
"837","new",45.9459459459459
"837","previously_detected",46.6666666666667
"839","new",96.1538461538462
"839","previously_detected",100
"845","new",75
